suburb,median_1br_pw,median_2br_pw,median_3br_pw
Alexandria,750,975,1950
Ashfield,580,720,1170
Beaconsfield,,1050,
Bondi Junction,922,1300,1850
Burwood,700,850,1140
Camperdown,780,950,1300
Campsie,510,580,695
Carlingford,600,730,818
Centennial Park,,812,
Chatswood,750,990,1800
Chippendale,880,1200,1500
Coogee,795,1030,1620
Darlington,822,,
Eastgardens,870,1100,936
Eastlakes,400,692,980
Eastwood,560,600,900
Epping,660,800,1100
Erskineville,750,1100,
Forest Lodge,1125,925,
Glebe,650,990,1345
Haymarket,855,1400,1680
Hurstville,650,780,925
Kensington,690,850,1075
Kingsford,600,840,1150
Lane Cove,700,720,840
Lane Cove North,665,700,
Lane Cove West,485,,
Macquarie Park,750,965,1325
Maroubra,695,865,1050
Marrickville,608,750,950
Marsfield,,700,780
Mascot,800,1050,1350
Meadowbank,480,830,1100
Newtown,630,800,1125
North Ryde,690,950,
Paddington,710,950,1190
Parramatta,615,730,828
Petersham,580,800,970
Pyrmont,735,1100,1472
Randwick,800,950,1448
Redfern,770,900,1300
Rhodes,710,950,1425
Rosebery,855,1050,1400
Ryde,670,775,875
Stanmore,700,588,
Surry Hills,790,1150,950
Sydney,950,1400,1850
Ultimo,699,1200,1425
Waterloo,810,1090,1350
Wolli Creek,710,870,1100
Zetland,800,1150,1490
